FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;01;0;0052176052863;06;2021;01/06/2021;010000131093000;"PT TELEKOMUNIKASI INDONESIA";"Jl. Japati No 1, Bandung";2815125;281512;0;1;080;4336339;;RT.02/9/6/1/D5/B5/B5.CBTN-21;IDR
FM;03;0;0042138678370;06;2021;06/06/2021;849506555401000;"CV SERANG DIGITAL SEJAHTERA";"LINK.KEBON JAHE NO.04 RT.04 RW 14 KEL.CIPARE SERANG-BANTEN";28161500;2816150;0;1;080;4336326;;RT.02/8/6/5/D5.CBTN21;IDR
FM;03;0;0042116843510;06;2021;02/06/2021;014834923417000;"KOP KARY.PT (PERSERO) PELABUHAN INDONESIA II BANDAR BANTEN";"JL RAYA PELABUHAN NO 1 CIWANDAN KEPUH CILEGON BANTEN";28556000;2855600;0;1;080;4336325;;RT.02/7/6/4/D5/B5.CBTN21;IDR
FM;01;0;0042116843511;06;2021;02/06/2021;014834923417000;"KOP KARY.PT (PERSERO) PELABUHAN INDONESIA II BANDAR BANTEN";"JL RAYA PELABUHAN NO 1 CIWANDAN KEPUH CILEGON BANTEN";3564000;356400;0;1;080;4336324;;RT.02/7/6/2/D5/B5.CBTN21;IDR
FM;01;0;0042138678368;06;2021;01/06/2021;849506555401000;"CV SERANG DIGITAL SEJAHTERA";"LINK.KEBON JAHE NO.04 RT.04 RW 14 KEL.CIPARE SERANG-BANTEN";5760000;576000;0;1;080;4336323;;RT.02/3/6/4/D5/B5.CBTN21;IDR
FM;01;0;0042116843507;06;2021;28/05/2021;014834923417000;"KOP KARY.PT (PERSERO) PELABUHAN INDONESIA II BANDAR BANTEN";"JL RAYA PELABUHAN NO 1 CIWANDAN KEPUH CILEGON BANTEN";5400000;540000;0;1;080;4336322;;RT.02/3/6/2/D5.CBTN21;IDR
FM;03;0;0042138678366;06;2021;23/05/2021;849506555401000;"CV SERANG DIGITAL SEJAHTERA";"LINK.KEBON JAHE NO.04 RT.04 RW 14 KEL.CIPARE SERANG-BANTEN";22025000;2202500;0;1;080;4336321;;RT.02/25/5/1/D5/D5/D5.CBTN-21;IDR
FM;01;0;0042138678365;06;2021;20/05/2021;849506555401000;"CV SERANG DIGITAL SEJAHTERA";"LINK.KEBON JAHE NO.04 RT.04 RW 14 KEL.CIPARE SERANG-BANTEN";1200000;120000;0;1;080;4336320;;RT.02/21/5/1/D5/D5/D5.CBTN-21;IDR
FM;03;0;0042116843506;06;2021;27/05/2021;014834923417000;"KOP KARY.PT (PERSERO) PELABUHAN INDONESIA II BANDAR BANTEN";"JL RAYA PELABUHAN NO 1 CIWANDAN KEPUH CILEGON BANTEN";14296000;1429600;0;1;080;4336319;;RT.02/10/2/2/D5/D5/D5.CBTN-21;IDR
FM;01;0;0042116843498;06;2021;04/05/2021;014834923417000;"KOPKAR BANDAR BANTEN";"Jl. Raya Pelabuhan No. 1, Tegal Ratu, Ciwandan";8400000;840000;0;1;080;4336318;;RT.01.04/8/3/1/D1.1/D1/D1.CBTN-21;IDR
FM;03;1;0052183296276;06;2021;10/05/2021;825434400401000;"PT ENGGAL SEJAHTERA INSPEKSINDO";"JL SAYABULU NO 17 RT 005 RW 007 SERANG KOTA SERANG";21500000;2150000;0;1;080;4336317;;RT.01.04/18/5/1/D1.1/D1/D.CBTN-21;IDR
FM;03;0;0032165603980;06;2021;03/05/2021;715790549417000;"TANGGA KARIR KITA, PT";"Jl. Raya Pelabuhan No.i Ciwandan";78802908;7880290;0;1;080;4336316;;PD.05.01/5/5/4/D6.CBTN21;IDR
FM;03;1;0032142582918;06;2021;31/05/2021;729552570417000;"PT EIRA ANTERO PRIMA";"JL SUNAN GUNUNG JATI LINK LIJAJAR NO 23 RT 13 RW 06 TEGAL RATU CILEGON";47025000;4702500;0;1;080;4336315;;PD.05.01/4/4/1/D6.1/D6/D6.CBTN-21;IDR
FM;03;1;0042133219440;06;2021;31/05/2021;013167622045000;"PT Kopegmar Tanjung Priok";"jl cempaka putih no 14 tj priok";156008000;15600800;0;1;080;4336314;;PD.05.01/27/3/1/D6.1/D6/D6.CBTN-21;IDR
FM;03;0;0042133219915;06;2021;14/06/2021;013167622045000;"KOP KOPERASI PEGAWAI MARITIM TANJUNG PRIOK";"JL CEMPAKA NO 14 RT 04/12 RAWABADAK JAKARTA UTARA";638886548;63888655;0;1;080;4336313;;PD.02/31/3/5/D5.CBTN21;IDR
FM;03;0;0042116843508;06;2021;02/06/2021;014834923417000;"KOPKAR BANDAR BANTEN";"Jl. Raya Pelabuhan No. 1, Tegal Ratu, Ciwandan";190570793;19057079;0;1;080;4336312;;PD.02/2/12/4/1/D5.CBTN21;IDR
FM;03;0;0032165603976;06;2021;03/05/2021;715790549417000;"TANGGA KARIR KITA, PT";"Jl. Raya Pelabuhan No.i Ciwandan";89950369;8995037;0;1;080;4336311;;PD.01/12/3/2/D5/GM/C.BTN-21;IDR
FM;03;0;0062130588656;06;2021;03/06/2021;905136875015000;"PT NUSA ELANG SATRIA";"Graha Mustika Ratu Lantai 5 Ruang 508, Jl. Jenderal Gatot Subroto Kav 74-75, Rt 002 Rw 001, Jakarta Selatan";398911908;39891191;0;1;080;4336340;;INV-NES/JPJ-21-05-0253;IDR
FM;01;0;0052192437509;06;2021;18/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";3089940;308994;0;1;080;4336354;;AR-TMB21/210400056;IDR
FM;01;0;0052192437506;06;2021;18/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";6647370;664737;0;1;080;4336355;;AR-TMB21/210400054;IDR
FM;01;0;0052192437505;06;2021;18/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";6364720;636472;0;1;080;4336352;;AR-TMB21/210400053;IDR
FM;03;0;0052192437500;06;2021;06/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";37946500;3794650;0;1;080;4336356;;AR-TMB21/210400050;IDR
FM;01;0;0052192437499;06;2021;06/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";8826390;882639;0;1;080;4336351;;AR-TMB21/210400049;IDR
FM;01;0;0052192437497;06;2021;06/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";1831540;183154;0;1;080;4336353;;AR-TMB21/210400047;IDR
FM;03;0;0052192437495;06;2021;06/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";11183470;1118347;0;1;080;4336360;;AR-TMB21/210400046;IDR
FM;03;0;0052192437494;06;2021;06/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";9489610;948961;0;1;080;4336357;;AR-TMB21/210400045;IDR
FM;03;0;0052192437493;06;2021;06/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";26187230;2618723;0;1;080;4336358;;AR-TMB21/210400044;IDR
FM;03;0;0052192437492;06;2021;06/05/2021;019553056028000;"PT SENTRAL GRAIN TERMINAL";"Jl. Suryopranoto No 1-9, Komp Delta Building Blok B 20, Jakarta Pusat";32167380;3216738;0;1;080;4336359;;AR-TMB21/210400043;IDR
FM;03;0;0032165603988;06;2021;07/06/2021;715790549417000;"PT TANGGA KARIR KITA";"Jl. Raya Pelabuhan No. 1, Kota Cilegon";40000000;4000000;0;1;080;4336348;;097/7/VI/TKK/2021;IDR
FM;03;0;0032165603982;06;2021;21/05/2021;715790549417000;"PT TANGGA KARIR KITA";"Jl. Raya Pelabuhan No. 1, Kota Cilegon";52238900;5223890;0;1;080;4336341;;090/21/V/TKK/2021;IDR
FM;03;0;0052100862450;06;2021;27/05/2021;013008958432000;"PT SIGMA SAKTI";"Jl. Puri Gading Blok PGR No 116, Jati Melati, Kota Bekasi";193105000;19310500;0;1;080;4336336;;03-27/SS/YK/V/2021;IDR
FM;03;0;0042138678367;06;2021;28/05/2021;849506555401000;"CV SERANG DIGITAL SEJAHTERA";"LINK.KEBON JAHE NO.04 RT.04 RW 14 KEL.CIPARE SERANG-BANTEN";37730000;3773000;0;1;080;4336342;;024/CV.SDS/V/2021;IDR
FM;03;0;0052117866148;06;2021;04/06/2021;738756444401000;"PT PISANGMAS RAYATAMA PERKASA";"Jl. Maulana Yusuf No 2, Cimuncang, Kota Serang";37050000;3705000;0;1;080;4336338;;009/VI/20021;IDR
