FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;01;0;0032168455958;06;2021;11/05/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";1658500;165850;0;1;090;4335637;;;IDR
FM;03;0;0032168455965;06;2021;20/05/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";13454545;1345455;0;1;090;4335628;;;IDR
FM;03;0;0042139207514;06;2021;28/06/2021;032763054093000;"PT PELABUHAN TANJUNG PRIOK";"JL. RAYA PELABUHAN NO. 9 , JAKARTA UTARA";42918485;4291848;0;1;090;4335661;;;IDR
FM;01;0;0032168455990;06;2021;08/06/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";5491000;549100;0;1;090;4335658;;;IDR
FM;03;0;0032168455953;06;2021;06/05/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";15236500;1523650;0;1;090;4335647;;;IDR
FM;01;0;0032168455960;06;2021;11/05/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";1474200;147420;0;1;090;4335652;;;IDR
FM;03;1;0042131728383;06;2021;16/04/2021;028658128311000;"CV KARYA BERSAMA";"JL KESWARI NO 61 RT.007 RW.000 , KOTA BENGKULU";15705500;1570550;0;1;090;4335646;;;IDR
FM;01;1;0032168455959;06;2021;29/06/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";3150000;315000;0;1;090;4335636;;;IDR
FM;03;0;0032168455978;06;2021;03/06/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";9972880;997288;0;1;090;4335629;;;IDR
FM;03;0;0042138616159;06;2021;01/06/2021;023990872062000;"PT SATRIA RAKSA BUMINUSA";"RUKAN TANJUNG MAS RAYA BLOK B1 NO.12 JL.RAYA LENTENG AGUNG RT 002 RW 001 , JAKARTA SELATAN";106956704;10695670;0;1;090;4335660;;;IDR
FM;03;0;0052193686642;06;2021;14/04/2021;013072616054000;"PT ASTRA GRAPHIA TBK.";"JL. KRAMAT RAYA NO. 43, KRAMAT , JAKARTA PUSAT";15639202;1563920;0;1;090;4335659;;;IDR
FM;01;0;0032168455967;06;2021;20/05/2021;014732366311000;"KOP KONSUMEN SUAKA BAHARI PELABUHAN";"JL YOS SUDARSO NO 09 RT 012 RW 003 , KOTA BENGKULU";5473000;547300;0;1;090;4335635;;;IDR
