FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;03;0;0032188067919;06;2021;07/06/2021;011501285426000;"KOPERASI PUSAKA";;18928429;1892842;0;1;060;4323040;;"PENGAKUAN PPNW PEK PERAWATAN TAMAN BL MEI 2021*KOPERASI PUSAKA*...........";IDR
FM;03;0;0042133219917;06;2021;14/06/2021;013167622045000;"KOP KOPERASI PEGAWAI MARITIM TANJUNG PRIOK";;210285307;21028531;0;1;060;4323039;;"PENGAKUAN PPNW PEK PEMBORONGAN TNO BL MEI 2021*KOPEGMAR*KU.269/63/03/KPM.Tpk-2021";IDR
FM;03;0;0032190690380;06;2021;03/06/2021;909657926042000;"KOP PANDU BAHTERA SEJAHTERA";;150229750;15022975;0;1;060;4323037;;"PENGAKUAN PPNW PEK PEMANDUAN PER 1-31 MEI 2021*KOP PANDU BAHTERA SEJAHTERA*136/SPN/PBS-UM/VI/2021";IDR
FM;03;1;0032188067918;06;2021;07/06/2021;011501285426000;"KOPERASI PUSAKA";;27907635;2790763;0;1;060;4323034;;"PENGAKUAN PPNW PEK OPRSNL MESS/STASIUN PANDU INDRAMAYU BL MEI 21*KOPERASI PUSAKA*11/KP/VI/2021";IDR
FM;03;1;0032138394444;06;2021;03/06/2021;905136875015000;"PT NUSA ELANG SATRIA";;141467545;14146755;0;1;060;4323033;;"PENGAKUAN PPNW PEK JASA SECURITY BL MEI 2021*PT.NESA ELANG SATRIA*004/NES-HO/BA/VI/2021";IDR
FM;03;0;0062130588658;06;2021;03/06/2021;905136875015000;"PT NESA ELANG SATRIA";;141467545;14146755;0;1;060;4323030;;"PENGAKUAN PPNW PEK JASA SECURITY BL APRIL 2021*PT NUSA ELANG SATRIA*008/NES-HO/SP/V/2021";IDR
FM;03;0;0032188067920;06;2021;07/06/2021;011501285426000;"KOPERASI PUSAKA";;37935989;3793598;0;1;060;4323028;;"PENGAKUAN PPNW PEK CLEANING SERVICE BL MEI 2021*KOPERASI PUSAKA*..........";IDR
FM;01;0;0052176029274;06;2021;01/06/2021;010000131093000;"TELKOM  PT (CBN CRBN)";Cirebon;9240000;924000;0;1;060;4323026;;KU.04/16/6/4/B4.CCBN-21;IDR
FM;01;0;0022163237131;06;2021;28/04/2021;021601406426000;"CV AUTO KOOL PRIMA ";"JL. SUNAN GUNUNG JATI NO. 91 , RT.002 RW.001 , PASINDANGAN , CIREBON UTARA";4113250;411325;0;1;060;4323024;;AKP/KEU/099/V/2021;IDR
FM;01;0;0002126322944;06;2021;03/05/2021;010016640051000;"PT PERTAMINA (PERSERO)";"JL. Medan Merdeka Timur 1A Gambir Jakarta Pusat";2187275370;218727537;0;1;060;4323022;;189/Q23071/2021-S4;IDR
