FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;04;0;0052164062392;06;2021;09/04/2021;711516591045000;"JASA TRANS UTAMA PT";;2077326;207733;0;0;000;4333356;;;IDR
FM;03;1;0042133219708;06;2021;02/06/2021;013167622045000;"KOPEGMAR TANJUNG PRIOK";;146110641;14611064;0;0;000;4333315;;;IDR
FM;04;0;0062112919398;06;2021;29/04/2021;711516591045000;"JASA TRANS UTAMA PT";;2245823;224582;0;0;000;4333323;;;IDR
FM;03;0;0042136100990;06;2021;07/06/2021;024705840403000;"PT. CHANDRA KARYA MANDIRI";;9090909;909091;0;0;000;4333322;;;IDR
FM;04;0;0052164062422;06;2021;25/04/2021;711516591045000;"JASA TRANS UTAMA PT";;795506;79551;0;0;000;4333312;;;IDR
FM;01;0;0062164006570;06;2021;15/06/2021;010000495051000;"PT. BALAI PUSTAKA (PERSERO)";;15000000;1500000;0;0;000;4333366;;;IDR
FM;03;0;0052155179357;06;2021;17/06/2021;766475883005000;"PT. ROS PESONA ALAM";;80160000;8016000;0;0;000;4333347;;;IDR
FM;04;0;0052164062401;06;2021;18/04/2021;711516591045000;"PT JASA TRANS UTAMA";;2586238;258624;0;0;000;4333345;;;IDR
FM;04;0;0052164062342;06;2021;29/03/2021;711516591045000;"JASA TRANS UTAMA PT";;431152;43115;0;0;000;4333320;;;IDR
FM;03;0;0052155179366;06;2021;22/06/2021;766475883005000;"PT. ROS PESONA ALAM";;95403643;9540364;0;0;000;4333367;;;IDR
FM;03;0;0012182243610;06;2021;18/06/2021;015707227016000;"SUN PRIMA MOTOR PT";;191427273;19142727;0;0;000;4333364;;;IDR
FM;01;0;0042128497758;06;2021;17/05/2021;018869503093000;"BAPEL JPKM PT RSP";;7040000;704000;0;0;000;4333349;;;IDR
FM;04;0;0062112919440;06;2021;25/05/2021;711516591045000;"PT JASA TRANS UTAMA";;943484;94348;0;0;000;4333340;;;IDR
FM;04;1;0052164062379;06;2021;11/06/2021;711516591045000;"JASA TRANS UTAMA PT";;11465798;1146580;0;0;000;4333338;;;IDR
FM;04;0;0062112919442;06;2021;21/05/2021;711516591045000;"PT JASA TRANS UTAMA";;106843;10684;0;0;000;4333335;;;IDR
FM;03;1;0062112686936;06;2021;08/06/2021;030223028024000;"ALAM JAYA KREASI NASIONAL";;9406800;940680;0;0;000;4333316;;;IDR
FM;04;0;0052164062400;06;2021;18/04/2021;711516591045000;"JASA TRANS UTAMA PT";;1205119;120512;0;0;000;4333313;;;IDR
FM;04;0;0062112919411;06;2021;29/04/2021;711516591045000;"JASA TRANS UTAMA PT";;328747;32875;0;0;000;4333354;;;IDR
FM;04;0;0062112919448;06;2021;01/06/2021;711516591045000;"PT JASA TRANS UTAMA";;143253;14325;0;0;000;4333343;;;IDR
FM;04;0;0062112919445;06;2021;27/05/2021;711516591045000;"PT JASA TRANS UTAMA";;784036;78404;0;0;000;4333341;;;IDR
FM;04;0;0062112919461;06;2021;24/05/2021;711516591045000;"JASA TRANS UTAMA PT";;1635133;163514;0;0;000;4333327;;;IDR
