FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;03;0;0042124424236;06;2021;04/06/2021;012379020308000;"KOKARPEL (KOPERASI KARYAWAN PELABUHAN)";"Jl. Belinyu No. 01 Kel. Lawang Kidul Kec. Ilir Timur II";9355512;935551;0;0;040;4331804;;;IDR
FM;03;0;0032155492384;06;2021;28/06/2021;017810664013000;"INDOTEL GRAHA PRATAMA, PT";JAKARTA;40078000;4007800;0;0;040;4331817;;;IDR
FM;01;0;0062126659954;06;2021;10/05/2021;010031482051000;BULOG;;31828181;3182819;0;0;040;4331826;;;IDR
FM;03;0;0042119453738;06;2021;21/06/2021;027600808307000;"DUA JAYA UTAMA, CV";"JL.KENAYAN NO. 5";28794000;2879400;0;0;040;4331812;;;IDR
FM;01;0;0022143595311;06;2021;04/05/2021;010031482051000;BULOG;"JL JEND. GATOT SUBROTO KEL.KUNINGAN TIMUR KEC.SETIA BUDI";20394364;2039436;0;0;040;4331827;;;IDR
FM;03;0;0042124424254;06;2021;18/06/2021;012379020308000;"KOKARPEL (KOPERASI KARYAWAN PELABUHAN)";"Jl. Belinyu No. 01 Kel. Lawang Kidul Kec. Ilir Timur II";13675000;1367500;0;0;040;4331810;;;IDR
FM;08;0;0042136890444;06;2021;05/06/2021;032081804093000;"PT ENERGI PELABUHAN INDONESIA";"Jl. Yos Sudarso Lt. 1 No. 30";72425618;7242563;0;0;040;4331825;;;IDR
FM;03;0;0042124424238;06;2021;10/06/2021;012379020308000;"KOKARPEL (KOPERASI KARYAWAN PELABUHAN)";"Jl. Belinyu No. 01 Kel. Lawang Kidul Kec. Ilir Timur II";55496700;5549670;0;0;040;4331805;;;IDR
FM;03;0;0042129060450;06;2021;21/06/2021;015782410307000;"CV. SETIA USAHA";"JL. LETNAN JENDRAL HARUN SOHAR NO. 39A";22565000;2256500;0;0;040;4331811;;;IDR
FM;03;0;0042124424255;06;2021;28/06/2021;012379020308000;"KOKARPEL (KOPERASI KARYAWAN PELABUHAN)";"Jl. Belinyu No. 01 Kel. Lawang Kidul Kec. Ilir Timur II";29265000;2926500;0;0;040;4331818;;;IDR
FM;03;0;0032106480666;06;2021;28/05/2021;720016096307000;"GRAHA MITRA KARYA, CV";"JL. P.S Ing Kenayan No. 05";22358000;2235800;0;0;040;4313238;;ND.PD.05.01/4/6/2/B2.CPLG-21;IDR
FM;01;0;0042124424246;06;2021;14/06/2021;012379020308000;"KOKARPEL (KOPERASI KARYAWAN PELABUHAN)";"Jl. Belinyu No. 01 Kel. Lawang Kidul Kec. Ilir Timur II";8185500;818550;0;0;040;4313209;;ND.KU.02.02/16/6/1/B4.CPLG-21;IDR
