FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;01;0;0052118253016;06;2021;10/06/2021;848199998322000;"PT AGTA SINAR JAYA";"Jl. Urip Sumoharjo No. 230 LK III RT 13 Bandar Lampung";1481500;148150;0;1;020;4333381;;;IDR
FM;03;0;0062111507571;06;2021;09/06/2021;701729402324000;"PT KEKAR INSAN SEJAHTERA -";"Jl. Dewi Panjang Pidada Kecamatan Panjang";10277000;1027700;0;1;020;4333374;;;IDR
FM;03;0;0042109269844;06;2021;07/06/2021;012396917324000;"KOPERASI PEKERJA KEKAR";"JL.YOS SUDARSO No. 337 Panjang Bandar Lampung";57446000;5744600;0;1;020;4333377;;;IDR
FM;03;0;0052189885535;06;2021;25/05/2021;314499310431000;"PT OSCT INDONESIA";"LT.2 GD. SLICKBAR INDS.DELTA SILICON II, BEKASI";100080000;10008000;0;1;020;4333379;;;IDR
FM;03;0;0042141967208;06;2021;19/05/2021;033095290323000;"CV. SAMUDRA CIPTA PERKASA";"Jl. Sukardi Hamdani No. 16 LK. I Bandar Lampung";38407000;3840700;0;1;020;4333380;;;IDR
FM;03;0;0042171825415;06;2021;02/05/2021;016779308441000;"PT DWI ELTIS KONSULTAN";"JL WASTU KENCANA NO 5 H, BANDUNG";78363800;7836380;0;1;020;4333370;;;IDR
FM;03;0;0042136889909;06;2021;29/03/2021;032081804093000;"PT ENERGI PELABUHAN INDONESIA";"GEDUNG PLN LT.1, JL. YOS SUDARSO NO. 30 JAKARTA UTARA";9139979130;913997913;0;1;020;4333371;;;IDR
FM;03;0;0062111507572;06;2021;09/06/2021;701729402324000;"PT KEKAR INSAN SEJAHTERA -";"Jl. Dewi Panjang Pidada Kecamatan Panjang";13255000;1325500;0;1;020;4333375;;;IDR
FM;03;0;0032184246237;06;2021;10/05/2021;015885072441000;"PT ATRYA SWASCIPTA REKAYASA";"JL. PAHLAWAN NO 95 RT 001 RW 007 BANDUNG";40899000;4089900;0;1;020;4333368;;;IDR
FM;03;0;0052195910375;06;2021;09/06/2021;828135004324000;"CV KARYA SEJAHTERA";"JL YOS SUDARSO NO.79A RT 015 BUMI WARAS, BANDAR LAMPUNG";398919825;39891982;0;1;020;4333373;;;IDR
FM;03;0;0042128212709;06;2021;03/06/2021;910480581323000;"CV LAUTAN KUDAMAS";"JL. ARIF RAHMAN HAKIM RUKO AUTOPART No.15B";1694131157;169413115;0;1;020;4333378;;;IDR
FM;03;0;0042171825414;06;2021;02/05/2021;016779308441000;"PT DWI ELTIS KONSULTAN";"JL WASTU KENCANA NO 5 H, BANDUNG";74664886;7466489;0;1;020;4333369;;;IDR
FM;03;0;0042133219947;06;2021;18/06/2021;013167622045000;"KOP KOPERASI PEGAWAI MARITIM TANJUNG PRIOK";"JL. CEMPAKA NO.14 RT.04/12, RAWABADAK, JAKARTA UTARA";498137300;49813730;0;1;020;4333376;;;IDR
FM;03;0;0052147151115;06;2021;10/06/2021;847419801324000;"PT ERSYA MANDIRI TEKNIK";"JL. UDANG 2 GG. BAKRI LK. II NO. 4, BANDAR LAMPUNG";17800000;1780000;0;1;020;4333372;;;IDR
FM;03;0;0052168124242;06;2021;01/06/2021;313777476411000;"PT. PALAPA MEDIA INDONESIA";"Jl. Palapa Blok A/1 RT.001 RW. 018";13000000;1300000;0;1;020;4322673;;"PO 12490";IDR
FM;03;0;0062111507564;06;2021;04/06/2021;701729402324000;"PT KEKAR INSAN SEJAHTERA -";"Jl. Dewi Panjang Pidada Kecamatan Panjang";24500000;2450000;0;1;020;4322672;;"PO 12489";IDR
FM;03;0;0052101126566;06;2021;31/05/2021;025230756324000;"CV BADHE MAJU";"JL. KAMPUNG MULYA JAYA LK III KARANG MARITIM RT 002 RW 006";40248754;4024875;0;1;020;4322671;;"PO 12487";IDR
FM;03;0;0052164369631;06;2021;02/06/2021;022312722075000;"TELEMEDIA DINAMIKA SARANA. PT";"Komplek PT PGN (Persero) Tbk Jl. KH Zainul Arifin No.20";24700000;2470000;0;1;020;4322670;;"PO 12475";IDR
FM;03;0;0042149909852;06;2021;25/05/2021;954954277323000;"CV APPEND TECH INDONESIA";"Perum Nusantara Permai Blok C3, no.20 bandar lampung";22000000;2200000;0;1;020;4322669;;"PO 12474";IDR
FM;01;0;0052164369632;06;2021;02/06/2021;022312722075000;"TELEMEDIA DINAMIKA SARANA. PT";"Komplek PT PGN (Persero) Tbk Jl. KH Zainul Arifin No.20";1300000;130000;0;1;020;4322668;;"PO 12473";IDR
FM;03;0;0042149909853;06;2021;25/05/2021;954954277323000;"CV APPEND TECH INDONESIA";"Perum Nusantara Permai Blok C3, no.20 bandar lampung";11590000;1159000;0;1;020;4322667;;"PO 12472";IDR
FM;03;1;0042141967207;06;2021;18/05/2021;033095290323000;"CV. SAMUDRA CIPTA PERKASA";"Jl. Sukardi Hamdani No. 16 LK. I Bandar Lampung";20630742;2063074;0;1;020;4322666;;"PO 12469";IDR
FM;03;0;0032181254806;06;2021;02/06/2021;026454579324000;"LAMTORO NUSANTARA, CV";"Jl. Way Kanan No. 44 Pahoman";14155301;1415530;0;1;020;4322665;;"PO 12468";IDR
FM;03;0;0042149909854;06;2021;25/05/2021;954954277323000;"CV APPEND TECH INDONESIA";"Perum Nusantara Permai Blok C3, no.20 bandar lampung";4320000;432000;0;1;020;4322664;;"PO 12450";IDR
FM;03;0;0042149909855;06;2021;02/06/2021;954954277323000;"CV APPEND TECH INDONESIA";"Perum Nusantara Permai Blok C3, no.20 bandar lampung";15760000;1576000;0;1;020;4322663;;"PO 12449";IDR
FM;03;0;0032181254805;06;2021;28/05/2021;026454579324000;"LAMTORO NUSANTARA, CV";"Jl. Way Kanan No. 44 Pahoman";42265072;4226507;0;1;020;4322662;;"PO 12441";IDR
FM;03;0;0032181254804;06;2021;28/05/2021;026454579324000;"LAMTORO NUSANTARA, CV";"Jl. Way Kanan No. 44 Pahoman";43646488;4364649;0;1;020;4322661;;"PO 12440";IDR
FM;03;0;0052193711775;06;2021;24/05/2021;013072616054000;"ASTRA GRAPHIA Tbk. PT";"Jl. Kramat Raya No. 43 Kramat";28151000;2815100;0;1;020;4322660;;"PO 12432";IDR
