FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;01;0;0032135419559;06;2021;02/06/2021;864936166404000;"PT. RAFA TEKNOLOGI SOLUSI";"RUKO LALADON GRANDE JL RAYA LALADON ,RUKO H";6636364;663636;0;1;070;4325369;;"JB 6104";IDR
FM;01;0;0042125387743;06;2021;21/05/2021;013002134044000;"KOPEGMAR (KOP.PEG.MARITIM).";"JL.MARITIM NO.8.";1460727;146073;0;1;070;4325368;;"JB 6102";IDR
FM;01;0;0042116858408;06;2021;03/05/2021;033388711044000;"PT.MARITIM SUNDA KELAPA 1527";"SUNDA KELAPA";2115000;211500;0;1;070;4325367;;"JB 6100";IDR
FM;01;0;0042116858403;06;2021;01/04/2021;033388711044000;"PT MARITIM SUNDA KELAPA 1527";"JL. RAYA MARITIM";8179185;817919;0;1;070;4325366;;"JB 6009";IDR
FM;01;0;0042125387731;06;2021;24/03/2021;013002134044000;"KOPEGMAR (KOP.PEG.MARITIM).";"JL.MARITIM NO.8.";4400000;440000;0;1;070;4325365;;"JB 6000";IDR
FM;01;0;0042116858402;06;2021;01/04/2021;033388711044000;"PT MARITIM SUNDA KELAPA 1527";"JL. RAYA MARITIM";4863636;486364;0;1;070;4325364;;"JB 5999";IDR
FM;03;0;0052118479830;06;2021;05/04/2021;710828351061000;"MAXIMA SINERGI VISITEK .PT";"Graha SKM Lt. Dasar Jl. Kalibata Tengah No.2 Kalibata Pancoran";314414589;31441458;0;1;070;4325363;;"JB 5808-1";IDR
FM;03;1;0042116858409;06;2021;07/06/2021;033388711044000;"PT.MARITIM SUNDA KELAPA 1527";"SUNDA KELAPA";16550273;1655027;0;1;070;4325360;;031.004-21.16858409;IDR
FM;03;0;0042125387746;06;2021;04/06/2021;013002134044000;"KOPEGMAR SUNDA KELAPA";"JL. RAYA MARITIM NO.8 SUNDA KELAPA JAKARTA UTARA";134133314;13413331;0;1;070;4325359;;030.004-21.25387746;IDR
FM;03;0;0042125387740;06;2021;10/05/2021;013002134044000;"KOPEGMAR SUNDA KELAPA";"JL. RAYA MARITIM NO.8 SUNDA KELAPA JAKARTA UTARA";129806433;12980643;0;1;070;4325358;;030.004-21.25387740;IDR
FM;03;0;0042125387734;06;2021;07/04/2021;013002134044000;"KOPEGMAR SUNDA KELAPA";"JL. RAYA MARITIM NO.8 SUNDA KELAPA JAKARTA UTARA";14865000;1486500;0;1;070;4325357;;030.004-21.25387734;IDR
FM;03;0;0042116858405;06;2021;28/04/2021;033388711044000;"PT MARITIM SUNDA KELAPA 1527";"JL. RAYA MARITIM";60398819;6039882;0;1;070;4325356;;030.004-21.16858405;IDR
FM;03;0;0042116858404;06;2021;28/04/2021;033388711044000;"PT MARITIM SUNDA KELAPA 1527";"JL. RAYA MARITIM";46102657;4610266;0;1;070;4325355;;030.004-21.16858404;IDR
FM;03;0;0042116858397;06;2021;24/03/2021;033388711044000;"PT MARITIM SUNDA KELAPA 1527";"JL. RAYA MARITIM";56841710;5684172;0;1;070;4325354;;030.004-21.1685397;IDR
FM;03;0;0042116858396;06;2021;24/03/2021;033388711044000;"PT MARITIM SUNDA KELAPA 1527";"JL. RAYA MARITIM";46215445;4621545;0;1;070;4325353;;030.004-21.1685396;IDR
